Pair ID,Clone Type (GPT-4o),Free from compilation error?,Pass the test cases?,Can GPT-4o refactor it?,Can JDeodorant refactor it?,Notes
1419-1-2,Type-2,Yes,Yes,Yes,Yes,
1471-1-2,Type-2,Yes,Yes,Yes,Yes,
1471-1-3,Type-2,Yes,Yes,Yes,Yes,
1471-1-4,Type-2,Yes,Yes,Yes,Yes,
1471-2-3,Type-2,Yes,Yes,Yes,Yes,
1471-2-4,Type-2,Yes,Yes,Yes,Yes,
1471-3-4,Type-2,Yes,Yes,Yes,Yes,
1540-1-2,Type-3,Yes,Yes,Yes,Yes,
1551-1-2,Type-2,Yes,Yes,Yes,Yes,
1559-2-3,Type-2,Yes,Yes,Yes,Yes,
1559-2-4,Type-2,Yes,Yes,Yes,Yes,
1559-2-5,Type-2,Yes,Yes,Yes,Yes,
1559-2-6,Type-2,Yes,Yes,Yes,Yes,
1559-2-7,Type-2,Yes,Yes,Yes,Yes,
1559-2-8,Type-2,Yes,Yes,Yes,Yes,
1559-2-9,Type-2,Yes,Yes,Yes,Yes,
1559-2-10,Type-3,Yes,Yes,Yes,No,
1559-3-10,Type-3,Yes,Yes,Yes,No,
1559-4-10,Type-3,Yes,Yes,Yes,No,
1559-5-10,Type-3,Yes,Yes,Yes,No,
1559-6-10,Type-3,Yes,Yes,Yes,No,
1559-7-10,Type-3,Yes,Yes,Yes,No,
1559-8-10,Type-3,Yes,Yes,Yes,No,
1559-9-10,Type-3,Yes,Yes,Yes,No,
1561-1-2,Type-2,Yes,Yes,Yes,Yes,
1635-1-2,Type-3,Yes,Yes,Yes,Yes,
1645-1-2,Type-2,Yes,Yes,Yes,Yes,
1728-1-2,Type-2,Yes,Yes,Yes,Yes,
1763-1-2,Type-2,Yes,Yes,Yes,Yes,
1785-3-4,Type-2,Yes,Yes,Yes,Yes,
1785-3-5,Type-2,Yes,Yes,Yes,Yes,
1785-4-5,Type-2,Yes,Yes,Yes,Yes,
1813-1-2,Type-2,Yes,Yes,Yes,Yes,
1815-1-2,Type-2,compilation error,compilation error,No,Yes,
1815-3-4,Type-1,compilation error,compilation error,No,Yes,
1812-2-3,Type-2,Yes,Yes,Yes,Yes,
1812-2-4,Type-2,Yes,Yes,Yes,Yes,
1812-3-4,Type-2,Yes,Yes,Yes,Yes,
1809-6-7,Type-1,wrong method extracted,wrong method extracted,wrong method extracted,Yes,
